Date,premium
2022-01-03,9750.0
2022-01-05,10375.0
2022-01-07,13375.0
2022-01-10,15125.0
2022-01-12,12750.0
2022-01-14,17375.0
2022-01-19,18875.0
2022-01-21,22375.0
2022-01-24,31625.0
2022-01-26,37625.0
2022-01-28,27875.0
2022-01-31,23500.0
2022-02-02,16375.0
2022-02-04,21750.0
2022-02-07,18625.0
2022-02-09,15125.0
2022-02-11,20250.0
2022-02-14,26750.0
2022-02-16,19500.0
2022-02-18,21125.0
2022-02-23,21625.0
2022-02-25,24750.0
2022-02-28,29750.0
2022-03-02,24875.0
2022-03-04,24625.0
2022-03-07,23375.0
2022-03-09,24750.0
2022-03-11,21625.0
2022-03-14,24250.0
2022-03-16,25750.0
2022-03-21,16125.0
2022-03-23,16000.0
2022-03-25,14375.0
2022-03-28,14250.0
2022-03-30,13125.0
2022-03-31,14250.0
2022-04-01,14125.0
2022-04-04,11750.0
2022-04-06,18000.0
2022-04-08,15250.0
2022-04-11,14875.0
2022-04-13,15625.0
2022-04-18,15750.0
2022-04-20,14875.0
2022-04-22,17125.0
2022-04-25,22625.0
2022-04-26,21500.0
2022-04-27,25250.0
2022-04-28,23250.0
2022-04-29,25250.0
2022-05-02,27500.0
2022-05-03,23000.0
2022-05-04,32625.0
2022-05-05,20625.0
2022-05-06,30625.0
2022-05-09,30625.0
2022-05-10,28750.0
2022-05-11,32500.0
2022-05-12,27875.0
2022-05-13,27500.0
2022-05-16,24000.0
2022-05-17,19875.0
2022-05-18,21875.0
2022-05-19,24500.0
2022-05-20,24500.0
2022-05-23,24500.0
2022-05-24,21625.0
2022-05-25,24750.0
2022-05-26,21750.0
2022-05-27,17125.0
2022-05-31,23500.0
2022-06-01,19250.0
2022-06-02,20375.0
2022-06-03,22125.0
2022-06-06,17000.0
2022-06-07,19500.0
2022-06-08,18000.0
2022-06-09,19625.0
2022-06-10,25375.0
2022-06-13,30250.0
2022-06-14,27625.0
2022-06-15,38750.0
2022-06-16,27875.0
2022-06-21,21500.0
2022-06-22,21625.0
2022-06-23,19875.0
2022-06-24,18125.0
2022-06-27,19125.0
2022-06-28,17875.0
2022-06-29,20000.0
2022-06-30,23250.0
2022-07-01,18250.0
2022-07-05,20125.0
2022-07-06,19875.0
2022-07-07,16875.0
2022-07-08,16375.0
2022-07-11,17500.0
2022-07-12,16125.0
2022-07-13,21875.0
2022-07-14,20250.0
2022-07-15,17750.0
2022-07-18,15875.0
2022-07-19,16125.0
2022-07-20,17250.0
2022-07-21,17750.0
2022-07-22,14625.0
2022-07-25,15000.0
2022-07-26,15125.0
2022-07-27,25625.0
2022-07-28,16375.0
2022-07-29,15625.0
2022-08-01,15875.0
2022-08-02,17000.0
2022-08-03,15500.0
2022-08-04,15375.0
2022-08-05,16375.0
2022-08-08,14500.0
2022-08-09,14250.0
2022-08-10,16750.0
2022-08-11,14000.0
2022-08-12,12500.0
2022-08-15,12500.0
2022-08-16,12375.0
2022-08-17,14500.0
2022-08-18,13125.0
2022-08-19,14000.0
2022-08-22,14375.0
2022-08-23,15250.0
2022-08-24,13375.0
2022-08-25,13250.0
2022-08-26,23875.0
2022-08-29,17625.0
2022-08-30,15875.0
2022-08-31,17250.0
2022-09-01,17625.0
2022-09-02,16625.0
2022-09-06,17125.0
2022-09-07,17250.0
2022-09-08,18250.0
2022-09-09,15625.0
2022-09-12,17125.0
