PRIORITY LIST,STATUS
ABB,True
AUBANK,True
ABBOTINDIA,True
ABCAPITAL,True
APOLLOHOSP,True
ASHOKLEY,True
ASIANPAINT,True
ASTRAL,True
AXISBANK,True
BAJAJ-AUTO,True
BAJFINANCE,True
BALKRISIND,True
BERGEPAINT,True
BHARTIARTL,True
BIOCON,True
BOSCHLTD,False
BRITANNIA,True
CANFINHOME,True
CHOLAFIN,True
CIPLA,True
COLPAL,True
CROMPTON,True
CUMMINSIND,True
DABUR,True
DIVISLAB,True
LALPATHLAB,True
EICHERMOT,True
ESCORTS,True
GODREJCP,True
GUJGASLTD,True
HCLTECH,True
HDFCAMC,True
HDFCBANK,True
HDFCLIFE,True
HAVELLS,True
HEROMOTOCO,True
HINDUNILVR,True
ICICIBANK,True
ICICIGI,True
ICICIPRULI,True
IDFCFIRSTB,True
ITC,False
INDUSTOWER,False
INDUSINDBK,True
NAUKRI,False
INFY,False
INDIGO,False
JUBLFOOD,False
KOTAKBANK,False
LTF,False
LTTS,False
LICHSGFIN,False
LTIM,False
LT,False
MRF,False
M&MFIN,False
M&M,False
MANAPPURAM,False
MARICO,False
MARUTI,False
MPHASIS,False
MCX,False
MUTHOOTFIN,False
NAVINFLUOR,False
NESTLEIND,False
PIIND,False
PAGEIND,False
PETRONET,False
PIDILITIND,False
POLYCAB,False
POWERGRID,False
RECLTD,False
RELIANCE,False
SBICARD,False
SBILIFE,False
SHREECEM,False
SRF,False
SHRIRAMFIN,False
SIEMENS,False
SBIN,False
SUNPHARMA,False
TATACONSUM,False
TVSMOTOR,False
TCS,False
TATAMOTORS,False
TECHM,False
FEDERALBNK,True
INDHOTEL,True
TITAN,False
TRENT,False
ULTRACEMCO,False
UBL,False
UNITDSPR,False
VOLTAS,False
