Date,price
2022-01-03,925.0
2022-01-05,987.5
2022-01-07,1312.5
2022-01-10,1462.5
2022-01-12,1225.0
2022-01-14,1712.5
2022-01-19,1687.5
2022-01-21,2212.5
2022-01-24,3037.5
2022-01-26,3675.0
2022-01-28,2750.0
2022-01-31,2237.5
2022-02-02,1575.0
2022-02-04,2150.0
2022-02-07,1800.0
2022-02-09,1462.5
2022-02-11,2000.0
2022-02-14,2612.5
2022-02-16,1875.0
2022-02-18,2087.5
2022-02-23,2100.0
2022-02-25,2425.0
2022-02-28,2875.0
2022-03-02,2425.0
2022-03-04,2412.5
2022-03-07,2212.5
2022-03-09,2375.0
2022-03-11,2112.5
2022-03-14,2350.0
2022-03-16,2512.5
2022-03-21,1550.0
2022-03-23,1550.0
2022-03-25,1412.5
2022-03-28,1375.0
2022-03-30,1262.5
2022-03-31,1375.0
2022-04-01,1387.5
2022-04-04,1125.0
2022-04-06,1500.0
2022-04-08,1500.0
2022-04-11,1437.5
2022-04-13,1512.5
2022-04-18,1525.0
2022-04-20,1412.5
2022-04-22,1687.5
2022-04-25,2212.5
2022-04-26,2062.5
2022-04-27,2475.0
2022-04-28,2137.5
2022-04-29,2500.0
2022-05-02,2687.5
2022-05-03,2125.0
2022-05-04,3212.5
2022-05-05,2012.5
2022-05-06,3037.5
2022-05-09,2825.0
2022-05-10,2750.0
2022-05-11,3100.0
2022-05-12,2700.0
2022-05-13,2725.0
2022-05-16,2337.5
2022-05-17,1925.0
2022-05-18,2137.5
2022-05-19,2375.0
2022-05-20,2425.0
2022-05-23,2287.5
2022-05-24,2112.5
2022-05-25,2400.0
2022-05-26,2100.0
2022-05-27,1687.5
2022-05-31,2275.0
2022-06-01,1875.0
2022-06-02,1925.0
2022-06-03,2187.5
2022-06-06,1625.0
2022-06-07,1900.0
2022-06-08,1750.0
2022-06-09,1800.0
2022-06-10,2512.5
2022-06-13,2950.0
2022-06-14,2625.0
2022-06-15,3812.5
2022-06-16,2575.0
2022-06-21,2050.0
2022-06-22,2025.0
2022-06-23,1912.5
2022-06-24,1787.5
2022-06-27,1837.5
2022-06-28,1725.0
2022-06-29,1950.0
2022-06-30,2262.5
2022-07-01,1800.0
2022-07-05,1862.5
2022-07-06,1937.5
2022-07-07,1612.5
2022-07-08,1612.5
2022-07-11,1587.5
2022-07-12,1500.0
2022-07-13,2100.0
2022-07-14,1950.0
2022-07-15,1737.5
2022-07-18,1525.0
2022-07-19,1487.5
2022-07-20,1675.0
2022-07-21,1700.0
2022-07-22,1437.5
2022-07-25,1400.0
2022-07-26,1450.0
2022-07-27,2462.5
2022-07-28,1537.5
2022-07-29,1537.5
2022-08-01,1537.5
2022-08-02,1662.5
2022-08-03,1500.0
2022-08-04,1475.0
2022-08-05,1612.5
2022-08-08,1387.5
2022-08-09,1375.0
2022-08-10,1612.5
2022-08-11,1350.0
2022-08-12,1225.0
2022-08-15,1200.0
2022-08-16,1187.5
2022-08-17,1387.5
2022-08-18,1262.5
2022-08-19,1375.0
2022-08-22,1400.0
2022-08-23,1462.5
2022-08-24,1300.0
2022-08-25,1275.0
2022-08-26,2362.5
2022-08-29,1712.5
2022-08-30,1537.5
2022-08-31,1675.0
2022-09-01,1712.5
2022-09-02,1637.5
2022-09-06,1662.5
2022-09-07,1675.0
2022-09-08,1775.0
2022-09-09,1537.5
2022-09-12,1625.0
2022-09-13,2025.0
2022-09-14,1912.5
2022-09-15,1937.5
2022-09-19,1925.0
2022-09-20,1787.5
2022-09-21,3512.5
2022-09-22,2175.0
2022-09-23,2137.5
2022-09-26,2275.0
2022-09-27,2100.0
2022-09-28,2362.5
2022-09-29,2225.0
2022-09-30,2550.0
2022-10-03,2050.0
2022-10-04,1737.5
2022-10-05,1925.0
2022-10-06,1750.0
2022-10-07,2062.5
2022-10-10,1875.0
2022-10-11,1775.0
2022-10-12,2162.5
2022-10-13,2162.5
2022-10-14,2512.5
2022-10-17,1962.5
2022-10-18,1887.5
2022-10-19,2037.5
2022-10-20,1925.0
2022-10-21,2150.0
2022-10-24,1950.0
2022-10-25,1812.5
2022-10-26,1812.5
2022-10-27,1837.5
2022-10-28,1825.0
2022-10-31,1887.5
2022-11-01,1575.0
2022-11-02,3062.5
2022-11-03,1875.0
2022-11-04,1937.5
2022-11-07,1687.5
2022-11-08,1437.5
2022-11-09,2037.5
2022-11-10,2050.0
2022-11-11,1950.0
2022-11-14,1650.0
2022-11-15,1675.0
2022-11-16,1662.5
2022-11-17,1800.0
2022-11-18,1525.0
2022-11-21,1425.0
2022-11-22,1300.0
2022-11-23,1337.5
2022-11-25,750.0
2022-11-28,1225.0
2022-11-29,1137.5
2022-11-30,2225.0
2022-12-01,1425.0
2022-12-02,1825.0
2022-12-05,1237.5
2022-12-06,1212.5
2022-12-07,1537.5
2022-12-08,1337.5
2022-12-09,1600.0
2022-12-12,1927.4999999999998
2022-12-13,2387.5
2022-12-14,3525.0
2022-12-15,2267.5
2022-12-19,1412.5
2022-12-20,1425.0
2022-12-21,1287.5
2022-12-22,1225.0
2022-12-23,1650.0
2022-12-27,1375.0
2022-12-28,1262.5
2022-12-29,1312.5
2022-12-30,1475.0
2023-01-03,1587.5
2023-01-04,1775.0
2023-01-05,1575.0
2023-01-06,1900.0
2023-01-09,1287.5
2023-01-10,1500.0
2023-01-11,1262.5
2023-01-12,2025.0
2023-01-13,1487.5
2023-01-17,1200.0
2023-01-18,1150.0
2023-01-19,1387.5
2023-01-20,1350.0
2023-01-23,1175.0
2023-01-24,1387.5
2023-01-25,1437.5
2023-01-26,1412.5
2023-01-27,1412.5
2023-01-30,1362.5
2023-01-31,1375.0
2023-02-01,2600.0
2023-02-02,1325.0
2023-02-03,1675.0
2023-02-06,1362.5
2023-02-07,1900.0
2023-02-08,1437.5
2023-02-09,1425.0
2023-02-10,1625.0
2023-02-13,1450.0
2023-02-14,2062.5
2023-02-15,1437.5
2023-02-16,1500.0
2023-02-17,1700.0
2023-02-21,1462.5
2023-02-22,1612.5
2023-02-23,1300.0
2023-02-24,1562.5
2023-02-27,1312.5
2023-02-28,1275.0
2023-03-01,1362.5
2023-03-02,1312.5
2023-03-03,1350.0
2023-03-06,1150.0
2023-03-07,1725.0
2023-03-08,1362.5
2023-03-09,1162.5
2023-03-10,1937.5
2023-03-13,2800.0
2023-03-14,2362.5
2023-03-15,2637.5
2023-03-16,2300.0
2023-03-17,1675.0
2023-03-20,2075.0
2023-03-21,1337.5
