Date,Open,High,Low,Close
2010-03-02,8944.8,8944.95,8941.35,8943.45
2010-03-03,9042.55,9046.4,9042.5,9044.3
2010-03-04,9011.95,9017.35,9011.25,9014.45
2010-03-05,9038.35,9038.35,9032.05,9035.8
2010-03-08,9146.15,9147.25,9140.05,9140.05
2010-03-09,9120.75,9121.6,9119.55,9120.7
2010-03-10,9108.45,9108.45,9097.4,9099.1
2010-03-11,9213.05,9219.2,9211.7,9219.2
2010-03-12,9165.6,9174.3,9162.8,9172.5
2010-03-15,9088.8,9090.15,9083.95,9086.25
2010-03-16,9111.85,9113.05,9107.25,9107.4
2010-03-17,9183.25,9188.15,9183.25,9183.65
2010-03-18,9277.55,9286.95,9276.6,9283.65
2010-03-19,9261.75,9262.9,9257.75,9262.9
2010-03-22,9182.6,9185.8,9179,9182.2
2010-03-23,9227.4,9228.35,9220.85,9221.2
2010-03-25,9311.7,9320.5,9310.75,9316.75
2010-03-26,9448.3,9453.25,9447.95,9450.45
2010-03-29,9528.05,9533.75,9524.85,9525.55
2010-03-30,9474.5,9474.5,9464.75,9464.75
2010-03-31,9464.2,9470.15,9463.75,9470.15
2010-04-01,9511.8,9513.05,9507.15,9507.15
2010-04-05,9697.25,9708.9,9697.25,9704
2010-04-06,9731.45,9735.2,9727.95,9729.7
2010-04-07,9681.6,9681.9,9678,9681.6
2010-04-08,9492.3,9497.6,9492.3,9494.6
2010-04-09,9662.75,9668.4,9659.5,9662.95
2010-04-12,9576.45,9579.25,9573.25,9574.7
2010-04-13,9492.45,9492.45,9486.8,9489.5
2010-04-15,9343.3,9345.45,9341.5,9342.35
2010-04-16,9334.95,9335.95,9331.15,9335.95
2010-04-19,9301.8,9303.2,9295.35,9299.75
2010-04-20,9448.5,9453.4,9445.15,9453.4
2010-04-21,9547.15,9547.15,9543.05,9545.45
2010-04-22,9594.65,9599.8,9590.1,9590.1
2010-04-23,9815.1,9818.7,9815.1,9818.7
2010-04-26,9838.3,9840.5,9834.15,9836.55
2010-04-27,9752,9752.4,9744.7,9745.35
2010-04-28,9638.8,9649.65,9633.95,9647.55
2010-04-29,9809.25,9814.6,9808.65,9814
2010-04-30,9862.3,9862.3,9851.05,9853.45
2010-05-03,9791.3,9793.85,9786.8,9786.8
2010-05-04,9616.6,9623.9,9615.7,9623.9
2010-05-05,9600.15,9608.1,9598.2,9608.1
2010-05-06,9577.5,9583.35,9576.35,9580.25
2010-05-07,9278.95,9281.3,9275.4,9275.4
2010-05-10,9677.1,9681.6,9674.95,9680.85
2010-05-11,9626.5,9627.95,9620.85,9620.85
2010-05-12,9721.3,9722.25,9711.35,9717.2
2010-05-13,9775.15,9776.05,9770.75,9771.75
2010-05-14,9548.75,9559.6,9548.75,9556.95
2010-05-17,9534,9534,9517.45,9517.45
2010-05-18,9492.15,9496.65,9492.15,9496.65
2010-05-19,9129.3,9131.75,9125.8,9128.9
2010-05-20,9199.7,9199.7,9195.95,9199.45
2010-05-21,9135.8,9140.7,9128.8,9128.8
2010-05-24,9051.1,9057.65,9044.55,9045.55
2010-05-25,8851.2,8855.95,8850.1,8855.35
2010-05-26,9030.25,9030.25,9020.15,9020.15
2010-05-27,9265.4,9273.95,9259.4,9270.15
2010-05-28,9295.8,9301.55,9293.95,9294.7
2010-05-31,9365.7,9367.2,9347.7,9361.25
2010-06-01,9104.7,9108.4,9094.15,9097.9
2010-06-02,9206.95,9210.6,9203.55,9204.1
